overdue,adj.到期未付的，未做的，未还的；过期的；早该发生的；早应完成的
overestimate,v.对…评价过高，对…估计过高
overfish,v.对（鱼场或某些鱼）进行过度捕捞
overly,adv.很，十分，过于
overrate,v.过高估计
overrule,v.统治，支配；对…施加影响；否决， 驳回，宣布…无效；拒绝
overshadow,v.给…投上阴影，遮暗
oversize,adj.特大的
overstate,v.夸大，夸张，言过其实
overstep,v.超越（正常或允许的）范围；越权；僭越
over-the-counter,adj.店面交易的；（药等）不需医师处方而卖的
overvalue,v.估计过高，过于重视
overwhelmingly,adv.压倒地；无法抵抗地
overwork,v.（使）过度劳累，过分努力 n.劳累过度，过分辛苦
超纲词P,
pathological,adj.病理学的，病理上的，病态的
pathway,n.路，小径，人行道
patronage,n.惠顾，光顾；资助，赞助
patronize,v.光顾，惠顾
paycheck,n.付薪水的支票，薪金，工资
peculiarity,n.特性，特色
penalize,v.使不利，对…不公平；（竞赛中）处罚
perception,n.洞察力，理解力，知觉
perceptive,adj.理解力强的，有洞察力的； 视觉的，听觉的，感觉的
perceptual,adj.知觉的，有知觉的
perfectly,adv.完全地，非常，十分； 完美的，美好的，圆满地
performative,adj.与行动作为有关联的
performer,n.表演者，演出者；表现得…者
periodically,adv.定期地
permissive,adj.许可的，宽容的
perpetuate,v.使永久存在，使不朽
perpetuity,n.永远，永存，不灭
persistence,n.坚持，契而不舍；持续存在，维持
persistent,adj.坚持不懈的，固执的，持续的
persistently,adv.持续地
persuasive,adj.劝说的，劝诱的；有说服力的
pervasive,adj.弥漫的；渗透的；普遍的
petal,n.花瓣
pharaoh,n.法老
pharmaceutical,adj.制药的；药的
philharmonic,adj.（用于乐队、音乐团体等名称中）爱好音乐的
philosophical,adj.哲学的；达观的，处乱不惊的
phony,n.贋品，骗人的东西 adj.假的，欺骗的
phrasing,n.措辞，用语；乐句划分法，分句法
physically,adv.身体上，肉体上； 依据自然法律，根本上
physique,n.体格；体形
pinpoint,v.明确指出；准确解释 adj.准确的；精确的；n.极小的范围；光点
player,n.游戏者，运动员，参赛选手；演奏者； 竞争者；播放机
playgoer,n.爱看戏的人，戏迷
poach,v.煮，炖，煨；偷猎；盗用；挖走（人员等）
pocketbook,n.（个人或国家的）财政状况，财力；记事本，小笔记本
pointless,adj.无意义的，无目标的；不值得做的
polarize,v.使两极化，截然对立；使光波等偏振；使物体极化
potash,n.钾碱，草碱
potentially,adv.潜在地
pottery,n.陶器制造术，陶器
powerfully,adv.有影响力地，强有力地
powerless,adj.无影响力的，无权的，无能为力的
practicality,n.可行性，适用性；实事求是
precisely,adv.准确地，恰好地，精确地；细心地；正是，确实
preconception,n.预料，先人之见；偏见
predator,n.捕食性动物；剥削者，掠夺者
predatory,adj.（动物）捕食性的；欺负弱小的
predictable,adj.可预见的，意料之中的
predictably,adv.意料中地
prediction,n.预言，猜测，预告
predominantly,adv.主要地，多数情况下
prefrontal,adj.前额的
prehistoric,adj.文字记载的，历史以前的，史前的
preoccupation,n.盘算，思虑，长久思考的事情；心事重重，忧心忡忡
prerequisite,n.先决条件，前提
presumptuous,adj.放肆的，冒昧的，专横的
presuppose,v.姑且认为；假设；以…为前提；依…而定
prevention,n.预防，防止，防范
previously,adv.早先，先前
prewar,adj.战前的
priestly,adj.神职人员的；像神职人员的
primarily,adv.主要地，根本地
principally,adv.主要地
printer,n.打印机；印刷商，印刷工人；印刷公司，印刷厂
probably,adv.几乎肯定，很可能
processor,n.加工机（或工人）；处理器，处理机
procreation,n.生产；生殖
prod,n.刺，戳；刺的东西；刺针；尖棒 v.刺，戳；刺激；敦促；惹起
producer,n.生产商；产地；制片人；监制人，制作人，制作公司
professionalise,v.使专业化，使职业化
professionalism,n.专业水平；专业素质；高超能力，专长；职业化
professorship,n.教授的级别（或职位）等
proficient,adj.熟练的，精通的；训练有素的
profit-making,adj.有利可图的，营利的
profoundly,adv.极大地；深刻地；严重地；完全地
progression,n.发展，前进，进程
prohibition,n.禁止，阻止；禁令；禁律
projection,n.预测，推断；投射，放映，投影
promoter,n.筹办人，发起人，赞助者，倡导者，支持者
